[2026-02-09 23:51:25,993] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-02-09 23:51:33,558] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-09 23:51:33,562] 107 dagshub - INFO - Accessing as Hari777-007
[2026-02-09 23:51:34,933] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Hari777-007/ns_project "HTTP/1.1 200 OK"
[2026-02-09 23:51:37,292] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-09 23:51:37,305] 107 dagshub - INFO - Initialized MLflow to track repo "Hari777-007/ns_project"
[2026-02-09 23:51:37,307] 107 dagshub - INFO - Repository Hari777-007/ns_project initialized!
[2026-02-09 23:51:44,873] 41 root - INFO - Start data Ingestion
[2026-02-09 23:51:52,077] 65 root - INFO - Performed train test split on the dataframe
[2026-02-09 23:51:52,077] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-02-09 23:51:52,078] 75 root - INFO - Exporting train and test file path.
[2026-02-09 23:51:52,161] 84 root - INFO - Exported train and test file path.
[2026-02-09 23:51:52,162] 44 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\02_09_2026_23_51_26\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\02_09_2026_23_51_26\\data_ingestion\\ingested\\test.csv')
[2026-02-09 23:51:52,170] 54 root - INFO - Initiate the data Validation
[2026-02-09 23:51:52,204] 32 root - INFO - Required number of columns:2
[2026-02-09 23:51:52,204] 33 root - INFO - Data frame has columns:31
[2026-02-09 23:51:52,204] 32 root - INFO - Required number of columns:2
[2026-02-09 23:51:52,205] 33 root - INFO - Data frame has columns:31
[2026-02-09 23:51:52,469] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-02-09 23:51:52,469] 65 root - INFO - Starting data transformation
[2026-02-09 23:51:52,503] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-02-09 23:51:52,503] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-09 23:51:52,523] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:51:52,527] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:51:52,527] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:51:52,530] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:59:16,073] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:59:16,080] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:59:16,080] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:59:16,086] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:59:16,086] 133 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_09_2026_23_51_26\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9919142914897918, precision_score=0.9909127625201939, recall_score=0.9929178470254958), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9722448979591837, precision_score=0.9643724696356275, recall_score=0.980246913580247))
