[2026-02-10 00:06:01,070] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-02-10 00:06:18,545] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-10 00:06:18,553] 107 dagshub - INFO - Accessing as Hari777-007
[2026-02-10 00:06:19,915] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Hari777-007/ns_project "HTTP/1.1 200 OK"
[2026-02-10 00:06:21,860] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-10 00:06:21,865] 107 dagshub - INFO - Initialized MLflow to track repo "Hari777-007/ns_project"
[2026-02-10 00:06:21,868] 107 dagshub - INFO - Repository Hari777-007/ns_project initialized!
[2026-02-10 00:06:22,724] 41 root - INFO - Start data Ingestion
[2026-02-10 00:06:27,454] 65 root - INFO - Performed train test split on the dataframe
[2026-02-10 00:06:27,454] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-02-10 00:06:27,455] 75 root - INFO - Exporting train and test file path.
[2026-02-10 00:06:27,518] 84 root - INFO - Exported train and test file path.
[2026-02-10 00:06:27,519] 44 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\02_10_2026_00_06_01\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\02_10_2026_00_06_01\\data_ingestion\\ingested\\test.csv')
[2026-02-10 00:06:27,525] 54 root - INFO - Initiate the data Validation
[2026-02-10 00:06:27,551] 32 root - INFO - Required number of columns:2
[2026-02-10 00:06:27,551] 33 root - INFO - Data frame has columns:31
[2026-02-10 00:06:27,552] 32 root - INFO - Required number of columns:2
[2026-02-10 00:06:27,552] 33 root - INFO - Data frame has columns:31
[2026-02-10 00:06:27,746] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-02-10 00:06:27,747] 65 root - INFO - Starting data transformation
[2026-02-10 00:06:27,789] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-02-10 00:06:27,789] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-10 00:06:27,804] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-10 00:06:27,808] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-10 00:06:27,808] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-10 00:06:27,811] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-10 00:13:41,438] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-10 00:13:41,507] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-10 00:13:41,508] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-10 00:13:41,591] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-10 00:13:41,592] 133 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_10_2026_00_06_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911305943521256, precision_score=0.9896172638436482, recall_score=0.9926485603430671), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.974298141557928, precision_score=0.970843183609141, recall_score=0.9777777777777777))
