[2026-02-09 23:39:20,360] 161 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[2026-02-09 23:39:27,931] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-09 23:39:27,936] 107 dagshub - INFO - Accessing as Hari777-007
[2026-02-09 23:39:29,230] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Hari777-007/ns_project "HTTP/1.1 200 OK"
[2026-02-09 23:39:30,488] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-02-09 23:39:30,491] 107 dagshub - INFO - Initialized MLflow to track repo "Hari777-007/ns_project"
[2026-02-09 23:39:30,493] 107 dagshub - INFO - Repository Hari777-007/ns_project initialized!
[2026-02-09 23:40:47,528] 40 root - INFO - Start data Ingestion
[2026-02-09 23:40:56,855] 65 root - INFO - Performed train test split on the dataframe
[2026-02-09 23:40:56,856] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-02-09 23:40:56,858] 75 root - INFO - Exporting train and test file path.
[2026-02-09 23:40:56,947] 84 root - INFO - Exported train and test file path.
[2026-02-09 23:40:56,948] 43 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\02_09_2026_23_39_20\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\02_09_2026_23_39_20\\data_ingestion\\ingested\\test.csv')
[2026-02-09 23:40:56,957] 53 root - INFO - Initiate the data Validation
[2026-02-09 23:40:56,998] 32 root - INFO - Required number of columns:2
[2026-02-09 23:40:56,998] 33 root - INFO - Data frame has columns:31
[2026-02-09 23:40:56,998] 32 root - INFO - Required number of columns:2
[2026-02-09 23:40:56,998] 33 root - INFO - Data frame has columns:31
[2026-02-09 23:40:57,254] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-02-09 23:40:57,255] 65 root - INFO - Starting data transformation
[2026-02-09 23:40:57,293] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2026-02-09 23:40:57,293] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-09 23:40:57,325] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:40:57,332] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:40:57,332] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:40:57,339] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:46:46,117] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:46:46,123] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:46:46,123] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-02-09 23:46:46,131] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-02-09 23:46:46,131] 133 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\02_09_2026_23_39_20\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906259449652253, precision_score=0.9879372738238842, recall_score=0.9933292904790783), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9766489143793528, precision_score=0.9683184402924452, recall_score=0.9851239669421488))
